	patent_id	application_citation_id
669	8070395	2001/0002497
670	8070960	2007/0215533
671	8070960	2009/0314715
672	8070960	2006/0011561
673	8070960	2005/0167373
674	8070960	2007/0034578
675	8070960	2008/0078726
676	8070960	2006/0102565
677	7955030	2002/0020658
678	7955030	2003/0095833
679	7955030	2006/0133897
680	7955030	2003/0143026
681	7897047	2005/0102921
682	7897047	2008/0073277
683	7897047	2008/0197073
684	7897047	2007/0094927
685	7897047	2006/0070299
686	7874767	2007/0098500
687	7874767	2002/0044842
688	7874767	2007/0292314
689	7874767	2003/0178194
690	7874767	2008/0015531
691	7874767	2007/0031192
692	7833400	2002/0167782
693	7833400	2004/0012913
694	7771187	2002/0157355
695	7645095	2004/0068156
696	7585410	2006/0283977
697	7549232	2006/0185197
698	7549232	2005/0116380
699	7549232	2003/0046831
700	7549232	2006/0123663
701	7549232	2006/0121268
702	7549232	2006/0070260
703	7549232	2003/0172548
704	7549232	2004/0078998
705	7549232	2005/0252039
706	7549232	2004/0181971
707	7549232	2007/0039205
708	7549232	2004/0194344
709	7549232	2002/0007569
710	7549232	2003/0041481
711	7524466	2002/0060175
712	7377760	2001/0006689
713	7377760	2005/0073066
714	7374062	2004/0169041
715	7374691	2004/0256297
716	7335298	2004/0173520
717	7306405	2003/0123937
718	7300229	2003/0085482
719	7226240	2002/0146394
720	7163354	2003/0230867
721	7163354	2004/0081514
722	7163354	2003/0230904
723	7163354	2002/0114667
724	7163354	2004/0114999
725	7163354	2004/0033107
726	7163354	2004/0012244
727	7080480	2001/0045383
728	7080480	2003/0082359
729	7080480	2004/0076473
730	7080480	2002/0179509
731	7021869	2003/0031511
732	7014755	2002/0113025
733	7014755	2003/0098267
734	7014755	2003/0047497
735	7014755	2002/0071722
736	7014755	2003/0132150
737	7014755	2003/0173277
738	7014755	2003/0029802
739	6986226	2002/0098038
740	6986226	2004/0120762
741	6961251	2004/0085790
742	6905289	2003/0031511
743	8580122	2006/0043025
744	8440154	2010/0224480
745	8440154	2008/0179178
746	8440154	2010/0200515
747	8440154	2004/0195088
748	8440154	2010/0023377
749	8440154	2003/0230537
750	8398335	2007/0062701
751	8382075	2008/0213137
752	8382075	2002/0069838
753	8382075	2004/0213721
754	8382075	2007/0251650
755	8382075	2002/0158024
756	8382075	2005/0074712
757	8382075	2004/0040671
758	8382075	2004/0045681
759	8202500	2010/0224480
760	8202500	2010/0023377
761	8202500	2003/0230537
762	8202500	2008/0179178
763	8202500	2004/0195088
764	8202500	2010/0200515
765	8100996	2004/0034111
766	8100996	2007/0244000
767	8100996	2002/0192118
768	8100996	2004/0229752
769	8100996	2004/0180971
770	8100996	2005/0165121
771	8100996	2006/0036106
772	8100996	2005/0163701
773	8100996	2005/0282918
774	8100996	2006/0142400
775	8100996	2007/0004810
776	8100996	2005/0176832
777	8100996	2004/0188326
778	8100996	2007/0197808
779	8100996	2006/0041029
780	8100996	2011/0147665
781	8100996	2002/0028164
782	8100996	2007/0197801
783	8100996	2006/0251558
784	8100996	2006/0135630
785	8100996	2005/0203195
786	8100996	2007/0017633
787	8100996	2006/0251552
788	8100996	2006/0020155
789	8100996	2003/0225169
790	8100996	2003/0007904
791	8100996	2006/0074134
792	8100996	2004/0134660
793	8052349	2005/0220542
794	7967990	2006/0043025
795	7959376	2006/0240368
796	7959376	2004/0040671
797	7959376	2006/0240369
798	7866921	2007/0062701
799	7837883	2003/0121868
800	7726908	2004/0191755
801	7726908	2005/0286978
802	7708892	2007/0241057
803	7708892	2006/0264521
804	7708892	2006/0273014
805	7662290	2002/0066568
806	7645385	2002/0117444
807	7645385	2003/0136731
808	7618547	2005/0109696
809	7527736	2004/0031742
810	7527736	2007/0051513
811	7527736	2007/0102359
812	7399141	2004/0082828
813	7255514	2004/0082828
814	7204660	2003/0131641
815	7198433	2005/0201831
816	7198433	2003/0008381
817	8628658	2004/0045912
818	8579552	2004/0076482
819	8535107	2005/0118122
820	8535107	2006/0121166
821	8101069	2008/0283467
822	8101069	2007/0246424
823	8101069	2008/0017591
824	8101069	2008/0229995
825	8080164	2006/0283977
826	8025460	2007/0217867
827	7914672	2006/0283977
828	7905684	2003/0140838
829	7736505	2007/0086888
830	7704013	2008/0310919
831	7704013	2009/0022548
832	7674373	2006/0283977
833	7658856	2006/0283977
834	7645378	2006/0283977
835	7604732	2006/0283977
836	7601257	2006/0283977
837	7597799	2006/0283977
