patent	ipc
1617	A01K
1618	B65G
1619	E21B
1620	B05B
1621	B01D
1622	C02F
1623	B63B
1624	E02B
1625	C02F
1626	B63B
1627	B63B
1628	B63B
1629	C02F
1630	B63B
1631	B09B
1632	C02F
1633	G06F
1634	C08K
1635	B08B
1636	B63B
1637	B63B
1638	C09K
1639	B08B
1640	G21F
1641	E02B
1642	E04H
1643	C02F
1644	B27N
1645	E02D
1646	C02F
1647	B63B
1648	B63B
1649	E01C
1650	C02F
1651	B63H
1652	F23C
1653	B65D
1654	B05D
1655	B01D
1656	B28B
1657	E02D
1658	E21B
1659	C02F
1660	B09B
1661	E02D
1662	B63H
1663	C12S
1664	E21B
1665	A62D
1666	C02F
1667	C12N
1668	E02F
1669	E02F
1670	B01D
1671	B63B
1672	E02D
1673	B09B
1674	B01J
1675	B01F
1676	A62D
1677	B63B
1678	B63B
1679	E02D
1680	B63B
1681	A62D
1682	B01J
1683	B01D
1684	C09K
1685	C02F
1686	C02F
1687	C02F
1688	C02F
1689	C02F
1690	A61L
1691	C02F
1692	C02F
1693	B09B
1694	B01D
1695	B01F
1696	F28D
1697	B01J
1698	C02F
1699	C02F
1700	A61L
1701	C02F
1702	B09C
1703	C01B
1704	B09B
1705	C02F
1706	C02F
1707	E02B
1708	C02F
1709	C02F
1710	B09B
1711	C02F
1712	B09C
1713	C01B
1714	E21B
1715	E02B
1716	G06Q
1717	C02F
1718	C02F
1719	B09B
1720	B01D
1721	C02F
1722	B09B
1723	C02F
1724	C02F
1725	C01B
1726	C02F
1727	E21B
1728	C02F
1729	A62D
1730	B09B
1731	C12N
1732	C02F
1733	C12P
1734	F25D
1735	C02F
1736	B09B
1737	C02F
1738	C02F
1739	E02D
1740	B09B
1741	C02F
1742	B09B
1743	B01D
1744	B09B
1745	C02F
1746	B09B
1747	G21F
1748	C10J
1749	C02F
1750	C02F
1751	B09B
1752	C02F
1753	C02F
1754	B01D
1755	C02F
1756	B09B
1757	A61L
1758	A61L
1759	C02F
1760	B09B
1761	B01D
1762	B01J
1763	C02F
1764	C02F
1765	C02F
1766	C10L
1767	C02F
1768	B65D
1769	B01D
1770	B09C
1771	B09B
1772	B09B
1773	E02B
1774	C02F
1775	B09C
1776	B09C
1777	E21B
1778	B01D
1779	A62D
1780	C02F
1781	C02F
1782	B09C
1783	E02D
1784	C02F
1785	F26B
1786	C02F
1787	B01J
1788	B09B
1789	B09B
1790	B09C
1791	B01D
1792	A62D
1793	C02F
1794	C05F
1795	B09B
1796	F23B
1797	C02F
1798	C02F
1799	A62D
1800	B01D
1801	A62D
1802	E02D
1803	A01N
1804	C25B
1805	E21B
1806	B09C
1807	C02F
1808	B09B
1809	C02F
1810	B01F
1811	C02F
1812	C02F
1813	A62D
1814	C02F
1815	G21F
1816	B09B
1817	B09B
1818	C02F
1819	B09B
1820	C02F
1821	C02F
1822	C02F
1823	C01B
1824	B01D
1825	G06F
1826	B09B
1827	B09B
1828	B09B
1829	B09B
1830	B09B
1831	C02F
1832	C08J
1833	F26B
1834	B09C
1835	C02F
1836	C22B
1837	B27N
1838	C01B
1839	C02F
1840	A62C
1841	B09C
1842	C12S
1843	C02F
1844	F26B
1845	C02F
1846	C22B
1847	C02F
1848	B09B
1849	C02F
1850	C02F
1851	A61L
1852	C02F
1853	B09C
1854	B01D
1855	B01D
1856	B09C
1857	B01D
1858	C02F
1859	B09B
1860	B09B
1861	B09B
1862	C22B
1863	C02F
1864	E02D
1865	C02F
1866	C25F
1867	E02B
1868	A62D
1869	C25F
1870	B09B
1871	C02F
1872	C07C
1873	A62C
1874	B32B
1875	C12M
1876	C02F
1877	E02D
1878	B09B
1879	C02F
1880	E02F
1881	E02F
1882	B01D
1883	B09B
1884	B01D
1885	B01D
1886	A01B
1887	E21B
1888	E21B
1889	C02F
1890	C02F
1891	B09B
1892	B01D
1893	A62D
1894	C02F
1895	C10G
1896	C04B
1897	C02F
1898	A62D
1899	G01V
1900	C22B
1901	C02F
1902	A62D
1903	C02F
1904	C02F
