us_class	patent
210/691	418
210/747	418
210/163	418
210/282	418
424/661	419
210/756	419
210/695	420
210/723	420
210/705	420
210/711	420
210/713	420
210/714	420
210/725	420
210/727	420
405/015	421
405/036	421
405/207	421
405/302.6	421
588/256	422
423/322	423
210/710	423
210/908	423
428/138	424
052/782.1	425
435/262.5	426
588/252	427
210/617	428
210/151	428
588/252	429
588/252	430
210/695	431
208/113	431
423/150.2	431
210/806	431
210/780	431
210/767	432
210/488	432
210/503	432
405/258.1	433
405/229	433
210/220	434
264/263	435
264/268	435
264/271.1	435
264/279.1	435
264/320	435
264/333	435
205/688	436
204/242	436
405/129.95	437
205/688	438
205/696	438
210/764	439
210/743	439
210/723	440
210/739	440
210/173	441
210/181	441
210/182	441
210/199	441
210/202	441
210/205	441
210/257.1	441
210/258	441
210/519	441
210/602	442
210/603	442
210/629	442
119/204	442
210/169	442
210/639	443
210/749	443
210/752	443
095/263	443
210/806	443
425/435	444
264/308	444
264/311	444
052/292	444
516/010	445
588/313	445
435/134	446
554/008	446
044/385	446
204/533	447
204/536	447
204/632	447
205/688	448
205/703	448
205/751	449
210/321.69	450
210/321.89	450
210/500.23	450
210/388	450
210/620	451
210/532.2	451
405/129.2	451
405/129.25	451
405/129.27	451
405/129.28	451
096/108	452
210/728	453
210/749	454
405/302.7	455
405/184.2	455
047/001.1T	456
405/016	456
588/256	457
210/744	458
210/791	458
210/123	458
210/282	458
264/162	459
524/068	459
524/439	459
524/442	459
264/349	459
264/320	459
264/322	459
156/094	459
106/287.35	459
204/242	460
204/267	460
210/097	461
210/136	461
210/143	461
210/187	461
210/248	461
210/256	461
210/257.1	461
210/305	461
210/312	461
210/320	461
210/521	461
210/532.1	461
210/533	461
210/540	461
210/194	462
203/001	463
202/206	463
202/205	463
202/196	463
202/267.1	463
202/265	463
202/269	463
203/010	463
202/098	463
203/DIG.18	463
029/426.5	464
029/700	464
241/065	465
241/236	465
428/002	466
205/701	467
205/770	467
205/746	467
205/703	467
204/252	467
204/275.1	467
210/683	468
588/250	469
100/038	470
209/215	471
209/643	471
209/133	471
423/322	472
205/688	473
205/698	473
210/626	474
210/195.3	474
210/759	475
210/620	476
405/302.7	477
428/357	477
405/302.6	477
210/621	478
210/629	478
210/170	478
405/267	479
405/270	479
405/258.1	479
210/607	480
210/621	480
210/629	480
210/220	480
210/623	480
