	patent_id	grant_citation_id
456	8360689	6505998
457	8360689	5249892
458	8360689	794971
459	8360689	5152348
460	8360689	6354766
461	8360689	6425713
462	8328470	7326004
463	8328470	6425713
464	8328470	6354766
465	8328470	7226246
466	8328470	5152348
467	8328470	5249892
468	8328470	6505998
469	8328470	794971
470	8318026	5716519
471	8318026	3170868
472	8318026	4670142
473	8318026	5616831
474	8318026	2660305
475	8318026	3244280
476	8318026	3941698
477	8318026	2245587
478	8318026	3297567
479	8313921	4430021
480	8313921	5265979
481	8313921	5356452
482	8313921	6024513
483	8313921	5975801
484	8313921	2507848
485	8313921	5271107
486	8313921	2089801
487	8313921	5758462
488	8313921	3595224
489	8313921	6117671
490	8313921	4777674
491	8313921	6283676
492	8313921	422345
493	8313921	6386796
494	8313921	2836833
495	8313921	3995331
496	8313921	6471443
497	8313921	6056800
498	8313921	5605417
499	8313921	5564862
500	8313921	1734462
501	8313921	4257892
502	8313921	370528
503	8313921	4943100
504	8313921	6254770
505	8313921	350598
506	8313921	3031826
507	8313921	4883590
508	8313921	988667
509	8313921	873120
510	8313921	3653845
511	8313921	5285539
512	8313921	5857807
513	8313921	5984580
514	8313921	2550401
515	8313921	2487228
516	8313921	6364572
517	8313921	5288171
518	8313921	4396402
519	8313921	6334737
520	8313921	1275222
521	8313921	4323367
522	8313921	5015371
523	8313921	2504287
524	8313921	2324545
525	8313921	6555359
526	8313921	5491850
527	8313921	5562586
528	8313921	5419602
529	8313921	3042210
530	8313921	6099613
531	8313921	4871451
532	8313921	5636941
533	8313921	2607925
534	8313921	5406655
535	8313921	5181803
536	8313921	5855664
537	8313921	3212416
538	8313921	1141678
