	0	1	2	3
434	('6576130', 'b12a79a3a1496c7ddc807f85c0dfbcee')			
435	('6481929', '6d3d2b66cd5ed01e89d734867d61a4ba')	('6481929', '7591b1e04056229b4b3d544615b09cbb')	('6481929', '3781b862cf9766c59d914637d92eda80')	
436	('6435770', 'b6f1496a92e8719c3de9084ac7affd0e')			
437				
438				
439				
440	('6290637', '9874c3798a9ed12ee6c826aa2e85d476')			
441	('6241800', '1aa4220d60452db35ec4b61c171fea0b')			
442				
443				
444	('6110383', '2a2072c17d83cc22098f0c18548134c5')			
445	('5972220', 'c610954be2790930e31d1d112416db20')			
446	('8628658', 'bb9dbf1dd085b1820b821f67f05aea32')	('8628658', '301d141a5dc50fec61152a94d72c2c58')		
447	('8579552', 'e7e48cd1dffb189fffa55620881f060f')			
448				
449				
450				
451	('8075685', '83d8b925f3c901df479af33b82799888')			
452				
453	('7972103', 'a04a3abe0967aec96073799c395ec7bf')			
454				
455				
456	('7882794', 'c7070498daa0a7696dec4a865a9b554d')			
457	('7736505', 'a254b8577e5bce10666639e4bf94db8e')			
458				
459				
460				
461				
462				
463				
464				
465				
466				
467	('7543612', '6b6c21999496f86b3cc84f6c6f7103e9')			
468	('7153423', '6ce45417640975d9dc35406095fc7ff0')			
469				
470				
471	('7021229', 'ae7042d39bddc13a0c3a590593a125a8')			
472	('6916860', '74da078d46dc1a7d8c861c30d7f7828d')			
473	('6709216', '72ce9da0a0790a5d92ee4a7b2dd6b3df')			
474				
475	('6676461', '7bd8cfa74782af0e9671ed295d8c01b9')			
476				
477	('6601649', '1175eaa95539630c62bb2c0c349dae9c')			
478	('6533501', '4c4f38e65f8cc1f8f624e80e8d3223b0')			
479	('6415733', '87e5ace9c334d9999c4270294f25a1e4')			
480	('6394706', 'e145193defab6d1f7d66946e289a4acd')			
481	('6290637', '9874c3798a9ed12ee6c826aa2e85d476')			
482				
483	('6070547', 'a498005894653797b212c43e69225260')			
484	('6053666', 'e4d75d91fbcad5b9b4462a9f19f0df99')			
485	('8580122', '378ff9fb48556d3eec348ae0aff813eb')			
486	('8486262', '1199d992a4b03dcbe2e76b6f668d5960')			
487	('8440154', '433b6c8189b21781069637362ee938b9')			
488	('8414748', '853d1541d57f5f4401ee317448206f38')			
489				
490	('8382075', '98140e6fe6df87cb88e418a69732485f')			
491	('8202500', '433b6c8189b21781069637362ee938b9')			
492	('8100996', '9cbca8d9b20e25cf33c59727359db63c')			
493				
494	('7967989', '378ff9fb48556d3eec348ae0aff813eb')			
495	('7967990', '378ff9fb48556d3eec348ae0aff813eb')			
