patent	us_class
1488	210/610
1489	037/307
1490	037/317
1491	210/660
1492	405/129.9
1493	210/749
1494	210/636
1495	047/058.1
1496	166/250.07
1497	075/712
1498	210/710
1499	210/605
1500	405/129.5
1501	210/634
1502	588/228
1503	210/759
1504	208/428
1505	252/175
1506	210/764
1507	588/256
1508	702/006
1509	075/398
1510	210/688
1511	588/257
1512	210/732
1513	210/605
1514	210/170.05
1515	705/037
1516	165/045
1517	405/302.4
1518	210/747.4
1519	210/691
1520	441/001
1521	405/060
1522	114/261
1523	114/264
1524	210/708
1525	210/170.05
1526	405/061
1527	342/357.55
1528	514/044.R
1529	405/063
1530	114/256
1531	210/170.11
1532	588/250
1533	210/691
1534	405/015
1535	210/085
1536	405/025
1537	705/037
1538	210/742
1539	405/052
1540	405/063
1541	106/713
1542	210/170.05
1543	405/061
1544	210/747.5
1545	414/137.5
1546	405/063
1547	210/747
1548	210/143
1549	405/030
1550	405/210
1551	114/230.13
1552	114/312
1553	110/235
1554	062/533
1555	428/626
1556	424/400
1557	114/026
1558	405/014
1559	588/309
1560	210/242.4
1561	405/063
1562	405/201
1563	405/033
1564	405/195.1
1565	114/264
1566	210/143
1567	062/533
1568	210/742
1569	414/137.1
1570	114/361
1571	210/143
1572	114/222
1573	405/224
1574	148/553
1575	210/143
1576	210/143
1577	210/143
1578	210/143
1579	210/143
1580	062/533
1581	241/024.16
1582	052/169.13
1583	114/361
1584	210/747
1585	141/086
1586	244/114.R
1587	062/046.1
1588	134/105
1589	134/105
1590	134/105
1591	210/170.1
1592	210/198.1
1593	210/242.3
1594	210/774
1595	114/294
1596	405/025
1597	210/750
1598	405/173
1599	212/270
1600	238/084
1601	156/071
1602	210/242.4
1603	405/018
1604	114/125
1605	405/023
1606	405/076
1607	405/068
1608	441/005
1609	114/053
1610	405/129.1
1611	405/129.1
1612	405/129.6
1613	210/242.1
1614	405/302.7
1615	114/264
1616	588/249
1617	119/221
1618	406/154
1619	175/005
1620	239/526
1621	210/241
1622	210/724
1623	114/230.1
1624	405/118
1625	210/691
1626	114/264
1627	114/026
1628	114/026
1629	210/170
1630	114/264
1631	588/256
1632	210/631
1633	701/016
1634	523/122
1635	239/399
1636	114/274
1637	114/295
1638	507/209
1639	134/006
1640	405/129.35
1641	210/747
1642	239/399
1643	210/748
1644	264/122
1645	405/216
1646	210/691
1647	114/382
1648	414/137
1649	405/229
1650	210/748
1651	440/002
1652	431/001
1653	114/257
1654	523/177
1655	210/096.1
1656	249/171
1657	405/229
1658	166/352
1659	210/747
1660	435/262.5
1661	405/229
1662	440/039
1663	435/262.5
1664	175/007
1665	588/205
1666	210/688
1667	435/254.1
1668	037/307
1669	037/317
1670	210/086
1671	114/343
1672	405/284
1673	405/128.1
1674	210/198.1
1675	366/186
1676	588/256
1677	114/295
1678	114/222
1679	405/279
1680	114/061
1681	588/002
1682	502/406
1683	210/719
1684	165/104.28
1685	159/016.2
1686	210/192
1687	210/710
1688	210/747.4
1689	210/747.4
1690	423/210
1691	204/252
1692	210/747.4
1693	405/129.95
1694	210/637
1695	261/123
1696	165/104.13
1697	075/343
1698	210/738
1699	435/262
1700	423/210
1701	210/631
1702	405/128.25
1703	427/136
1704	048/197.R
1705	210/605
1706	210/705
1707	210/693
1708	210/605
1709	210/748.02
1710	405/129.95
1711	210/720
1712	405/128.45
1713	423/351
1714	166/369
1715	210/747.5
1716	705/500
1717	210/696
1718	210/709
1719	405/129.95
1720	095/158
1721	210/682
1722	405/129.95
1723	210/756
1724	210/666
1725	423/402
1726	405/129.2
1727	166/369
1728	210/721
1729	588/306
1730	405/129.95
1731	435/177
1732	210/102
1733	435/165
1734	062/064
1735	210/668
1736	405/129.95
1737	210/683
1738	205/742
1739	405/129.9
1740	588/252
1741	210/605
1742	405/129.9
1743	210/652
1744	405/129.15
1745	210/614
1746	435/262
1747	588/020
1748	048/127.7
1749	210/758
1750	210/138
1751	405/129.95
1752	210/607
1753	210/620
1754	210/652
1755	435/293.1
1756	588/412
1757	210/689
1758	422/028
1759	210/607
1760	405/129.1
1761	210/650
1762	210/684
1763	210/603
1764	210/607
1765	210/630
1766	044/311
1767	210/170.7
1768	405/129.57
1769	261/121.1
1770	405/128.75
1771	405/129.95
1772	422/030
1773	405/043
1774	210/652
1775	405/129.1
1776	405/129.1
1777	166/312
1778	210/741
1779	588/300
1780	210/719
1781	210/605
1782	405/128.75
1783	405/302.4
1784	210/170.01
1785	034/060
1786	210/708
1787	422/042
1788	405/128.75
1789	405/129.9
1790	405/128.15
1791	210/321.83
1792	588/318
1793	204/555
1794	435/262
1795	405/129.9
1796	110/341
1797	210/617
1798	210/733
1799	588/299
1800	210/637
1801	422/184.1
1802	405/302.4
1803	514/400
1804	204/252
1805	166/271
1806	405/128.7
1807	210/188
1808	405/129.95
1809	210/631
1810	366/241
1811	210/085
1812	210/762
1813	588/316
1814	210/724
1815	405/129.5
1816	405/129.2
1817	588/252
1818	210/170
1819	405/129.1
1820	205/637
1821	210/748
1822	210/646
1823	423/322
1824	210/532.2
1825	705/002
1826	405/129.1
1827	588/252
1828	588/252
1829	405/129.95
1830	405/129.95
1831	210/683
1832	521/025
1833	034/380
1834	405/128.8
1835	210/683
1836	423/055
1837	264/122
1838	423/322
1839	210/759
1840	169/046
1841	405/128.5
1842	435/262
1843	210/602
1844	034/443
1845	210/602
1846	423/080
1847	210/759
1848	405/129.2
1849	205/688
1850	210/603
1851	422/003
1852	210/175
1853	405/128.5
1854	210/739
1855	210/739
1856	405/128.5
1857	210/634
1858	210/610
