ipc	patent
C04B	1073
C02F	1074
C02F	1075
C02F	1075
E02D	1076
G01M	1077
B09B	1078
C02F	1079
B01D	1080
B01D	1081
B04C	1081
E02D	1082
E01F	1083
D03D	1083
D03D	1083
B32B	1083
C02F	1084
C02F	1084
C02F	1084
C09K	1085
C02F	1085
B05D	1085
E02B	1085
A01G	1085
E04H	1086
E02D	1086
E02D	1086
E02B	1087
A61L	1088
E02B	1089
C02F	1090
C02F	1090
B01D	1090
B28B	1091
B29C	1091
A61B	1092
E02D	1093
B01J	1094
B01D	1095
E02B	1096
C02F	1097
B08B	1098
A61L	1098
A23L	1098
A61L	1098
B08B	1098
B08B	1098
A61L	1098
A61L	1098
E02D	1099
E01F	1100
E02D	1100
G06F	1101
G06K	1101
G05B	1101
G01L	1102
H01L	1102
H01L	1102
B28B	1102
E02B	1103
C02F	1104
E02B	1104
B01D	1105
F25D	1105
E02B	1106
B01D	1107
C02F	1107
B01D	1107
B01D	1107
B01D	1108
B01D	1108
B01D	1108
B01D	1108
B29C	1109
C02F	1110
C02F	1110
D06F	1111
B28B	1111
B32B	1111
B22C	1112
B28B	1112
B28B	1113
B65B	1113
B65D	1114
B65D	1114
B65D	1114
B65D	1114
B67D	1114
E02B	1114
C02F	1115
A62D	1116
C04B	1116
B32B	1117
B27N	1117
B28B	1117
C04B	1117
B28B	1117
B29C	1117
A01K	1118
B01D	1118
C02F	1118
C02F	1119
B01D	1119
B01D	1119
E02D	1120
E02B	1121
E02B	1122
B63B	1122
B63H	1122
E02B	1123
E02D	1124
E02D	1125
E02D	1125
B29C	1126
B28B	1126
B29C	1126
B08B	1127
B08B	1127
B08B	1127
C02F	1127
B01D	1127
B01D	1127
E02D	1128
G06G	1129
E02B	1130
E02B	1131
A01K	1132
B01D	1132
B01D	1132
B29C	1133
B32B	1133
C02F	1134
E02D	1135
H02G	1136
C02F	1137
E02B	1138
E02D	1138
C02F	1138
B28B	1139
B65B	1139
B63C	1140
C02F	1141
E02B	1142
B65G	1142
A01G	1143
E02B	1144
A01G	1145
E01C	1146
E01C	1146
A61L	1147
A01J	1148
A61L	1149
A61M	1150
B01D	1150
B01D	1150
B01D	1150
C02F	1150
C02F	1151
C12P	1151
H02M	1152
E04B	1153
E02D	1154
G21F	1155
A01G	1156
A01G	1156
E21F	1156
E02B	1156
C02F	1157
C25B	1158
E02B	1159
E02B	1159
E02B	1160
E02D	1161
H05F	1162
B01J	1162
C02F	1163
E03F	1163
E02B	1164
E02B	1164
C08J	1165
E02D	1166
E02D	1166
C02F	1167
E02B	1168
E02D	1169
E02D	1169
C02F	1170
E02D	1171
H02M	1172
C02F	1173
B28B	1174
C02F	1175
C02F	1176
B01D	1176
E21D	1177
C02F	1178
E02B	1179
B65G	1179
C02F	1180
E02B	1181
E02D	1181
A01G	1182
B01J	1183
B01J	1183
E02D	1184
B29C	1185
B28B	1185
E02B	1186
E02B	1186
B01D	1187
E21D	1188
E02D	1188
G06F	1189
G01F	1189
G01L	1189
A61M	1190
A63H	1191
C08K	1192
C08K	1192
C08K	1192
B28B	1193
B29C	1193
H02M	1194
A61L	1195
C02F	1196
B01D	1197
B29B	1198
B65B	1199
B03B	1200
B01D	1200
B09C	1201
B01D	1202
H02M	1203
H01G	1204
E02B	1205
B65B	1205
F16L	1205
E02B	1206
E02B	1206
A61N	1207
A61L	1207
H01S	1207
E04D	1208
E02B	1209
B63B	1209
E02B	1210
B01D	1211
H02M	1212
C08J	1213
C25B	1214
E04G	1215
E02D	1215
B65B	1216
