ipc	patent
C02F	1298
A61L	1299
C02F	1300
C02F	1301
B09B	1302
B01D	1303
B01F	1304
F28D	1305
B01J	1306
C02F	1307
C02F	1308
A61L	1309
C02F	1310
B09C	1311
C01B	1312
B09B	1313
C02F	1314
C02F	1315
E02B	1316
C02F	1317
C02F	1318
B09B	1319
C02F	1320
B09C	1321
C01B	1322
E21B	1323
E02B	1324
G06Q	1325
C02F	1326
C02F	1327
B09B	1328
B01D	1329
C02F	1330
B09B	1331
C02F	1332
C02F	1333
C01B	1334
C02F	1335
E21B	1336
C02F	1337
A62D	1338
B09B	1339
C12N	1340
C02F	1341
C12P	1342
F25D	1343
C02F	1344
B09B	1345
C02F	1346
C02F	1347
E02D	1348
B09B	1349
C02F	1350
B09B	1351
B01D	1352
B09B	1353
C02F	1354
B09B	1355
G21F	1356
C10J	1357
C02F	1358
C02F	1359
B09B	1360
C02F	1361
C02F	1362
B01D	1363
C02F	1364
B09B	1365
A61L	1366
A61L	1367
C02F	1368
B09B	1369
B01D	1370
B01J	1371
C02F	1372
C02F	1373
C02F	1374
C10L	1375
C02F	1376
B65D	1377
B01D	1378
B09C	1379
B09B	1380
B09B	1381
E02B	1382
C02F	1383
B09C	1384
B09C	1385
E21B	1386
B01D	1387
A62D	1388
C02F	1389
C02F	1390
B09C	1391
E02D	1392
C02F	1393
F26B	1394
C02F	1395
B01J	1396
B09B	1397
B09B	1398
B09C	1399
B01D	1400
A62D	1401
C02F	1402
C05F	1403
B09B	1404
F23B	1405
C02F	1406
C02F	1407
A62D	1408
B01D	1409
A62D	1410
E02D	1411
A01N	1412
C25B	1413
E21B	1414
B09C	1415
C02F	1416
B09B	1417
C02F	1418
B01F	1419
C02F	1420
C02F	1421
A62D	1422
C02F	1423
G21F	1424
B09B	1425
B09B	1426
C02F	1427
B09B	1428
C02F	1429
C02F	1430
C02F	1431
C01B	1432
B01D	1433
G06F	1434
B09B	1435
B09B	1436
B09B	1437
B09B	1438
B09B	1439
C02F	1440
C08J	1441
F26B	1442
B09C	1443
C02F	1444
C22B	1445
B27N	1446
C01B	1447
C02F	1448
A62C	1449
B09C	1450
C12S	1451
C02F	1452
F26B	1453
C02F	1454
C22B	1455
C02F	1456
B09B	1457
C02F	1458
C02F	1459
A61L	1460
C02F	1461
B09C	1462
B01D	1463
B01D	1464
B09C	1465
B01D	1466
C02F	1467
B09B	1468
B09B	1469
B09B	1470
C22B	1471
C02F	1472
E02D	1473
C02F	1474
C25F	1475
E02B	1476
A62D	1477
C25F	1478
B09B	1479
C02F	1480
C07C	1481
A62C	1482
B32B	1483
C12M	1484
C02F	1485
E02D	1486
B09B	1487
C02F	1488
E02F	1489
E02F	1490
B01D	1491
B09B	1492
B01D	1493
B01D	1494
A01B	1495
E21B	1496
E21B	1497
C02F	1498
C02F	1499
B09B	1500
B01D	1501
A62D	1502
C02F	1503
C10G	1504
C04B	1505
C02F	1506
A62D	1507
G01V	1508
C22B	1509
C02F	1510
A62D	1511
C02F	1512
C02F	1513
E02B	1514
G06Q	1515
E02B	1516
E02D	1517
B67D	1518
E02B	1519
B63B	1520
