patent	us_class
958	523/172
959	427/136
960	430/270.1
961	404/016
962	340/907
963	404/016
964	257/347
965	524/275
966	428/143
967	257/735
968	235/383
969	385/031
970	427/136
971	404/072
972	524/556
973	356/446
974	239/722
975	524/556
976	404/009
977	526/329.1
978	404/010
979	264/001.32
980	525/063
981	526/319
982	257/347
983	404/014
984	427/385.5
985	118/108
986	523/172
987	428/325
988	404/079
989	349/187
990	524/589
991	428/343
992	040/544
993	353/031
994	442/048
995	525/331.9
996	428/474.4
997	427/137
998	428/325
999	428/355.AC
1000	404/093
1001	002/002.5
1002	701/036
1003	037/266
1004	239/007
1005	404/094
1006	362/153.1
1007	014/071.3
1008	362/190
1009	239/007
1010	404/001
1011	404/009
1012	404/009
1013	073/146
1014	404/016
1015	037/234
1016	037/234
1017	037/231
1018	428/325
1019	501/034
1020	315/200.A
1021	404/014
1022	256/024
1023	362/061
1024	404/012
1025	404/006
1026	404/015
1027	404/014
1028	404/011
1029	106/098
1030	404/014
1031	014/069.5
1032	052/040
1033	037/227
1034	362/153
1035	315/153
1036	037/197
1037	702/034
1038	356/601
1039	701/002
1040	250/201.1
1041	014/036
1042	404/084.5
1043	404/084.5
1044	362/602
1045	451/359
1046	382/103
1047	014/069.5
1048	340/907
1049	052/173.3
1050	083/013
1051	701/050
1052	404/009
1053	362/576
1054	404/012
1055	404/072
1056	404/108
1057	404/013
1058	362/158
1059	382/108
1060	014/002.5
1061	404/002
1062	701/020
1063	404/077
1064	014/077.1
1065	404/007
1066	014/002.5
1067	428/039
1068	404/084.5
1069	198/304
1070	014/002.5
1071	404/004
1072	340/908.1
1073	320/108
1074	404/012
1075	701/050
1076	040/541
1077	404/075
1078	340/580
1079	362/153.1
1080	404/009
1081	104/002
1082	340/907
1083	404/071
1084	362/106
1085	428/017
1086	014/002.4
1087	037/231
1088	404/009
1089	014/073.5
1090	404/084.5
1091	362/102
1092	362/153.1
1093	382/141
1094	404/084.1
1095	340/908.1
1096	404/016
1097	362/559
1098	340/908
1099	014/069.5
1100	702/150
1101	340/942
1102	404/094
1103	702/167
1104	404/084.2
1105	404/016
1106	404/009
1107	362/103
1108	362/276
1109	340/580
1110	428/087
1111	385/031
1112	404/084.2
1113	362/249
1114	404/084.1
1115	340/944
1116	356/622
1117	239/722
1118	404/006
1119	362/559
1120	362/559
1121	428/017
1122	362/583
1123	014/071.5
1124	136/252
1125	701/001
1126	356/073
1127	014/077.1
1128	404/006
1129	116/063.C
1130	404/001
1131	037/413
1132	340/942
1133	428/690
1134	014/071.5
1135	362/145
1136	362/559
1137	362/027
1138	104/002
1139	047/058.10R
1140	702/150
